"Year","Total Number of Entries Available","Number of Structures Released Annually"
"2019","153085","5568"
"2018","147517","11206"
"2017","136311","11083"
"2016","125228","10826"
"2015","114402","9267"
"2014","105135","9573"
"2013","95562","9349"
"2012","86213","8762"
"2011","77451","7934"
"2010","69517","7749"
"2009","61768","7291"
"2008","54477","6906"
"2007","47571","7135"
"2006","40436","6409"
"2005","34027","5334"
"2004","28693","5149"
"2003","23544","4147"
"2002","19397","2994"
"2001","16403","2814"
"2000","13589","2627"
"1999","10962","2356"
"1998","8606","2057"
"1997","6549","1565"
"1996","4984","1172"
"1995","3812","941"
"1994","2871","1289"
"1993","1582","696"
"1992","886","192"
"1991","694","187"
"1990","507","142"
"1989","365","74"
"1988","291","53"
"1987","238","25"
"1986","213","18"
"1985","195","20"
"1984","175","22"
"1983","153","36"
"1982","117","32"
"1981","85","16"
"1980","69","16"
"1979","53","11"
"1978","42","6"
"1977","36","23"
"1976","13","13"